customer_id,age,income,employment_years,credit_score,loan_amount,debt_to_income_ratio,existing_loans_count,missed_payments_last_year,risk_score,default,risk_category
1,59,444938,6,738,317336.6728477074,0.713215488107798,4,0,0.3675468763228583,0,Medium
2,49,1279907,15,571,574643.7265714712,0.448973032080824,0,2,0.38239378096161936,0,Medium
3,35,513968,11,599,131202.51352133567,0.25527370093339596,4,3,0.4456994833901424,0,Medium
4,63,688388,14,772,456816.45291362196,0.6636031611730913,5,5,0.48291671396622,1,Medium
5,28,594957,14,457,182072.726139875,0.306026697962836,7,1,0.5241646353501429,0,Medium
6,41,2201737,10,526,1662273.6697205207,0.7549828475065463,6,3,0.5539141024883223,1,Medium
7,59,1278190,1,720,351881.5164496987,0.27529672149656836,0,3,0.3266590170265864,0,Medium
8,39,1090944,2,323,237176.08794744557,0.2174044570092008,6,4,0.6742543868130956,1,High
9,43,1764458,18,837,785760.4243890757,0.4453267940574815,6,4,0.33773720969324617,0,Medium
10,31,1496278,19,839,202537.06178039583,0.13536058257917033,5,2,0.2106495679444055,0,Low
11,31,693852,27,427,87070.24544178485,0.12548820993783236,4,1,0.4572396658836703,0,Medium
12,44,1285461,24,393,574871.2473510385,0.44721018167882065,1,4,0.5671274924396602,1,Medium
13,56,1937455,25,720,485477.43121118564,0.25057481655635133,2,2,0.24776161845612543,0,Low
14,60,1816608,14,571,193553.85441085545,0.10654684687662691,6,0,0.3185714563017323,0,Medium
15,44,2106423,15,783,647177.0612838243,0.3072398380020652,6,3,0.3017916969510624,0,Medium
16,23,2250408,0,304,977030.718424641,0.4341571476926144,0,1,0.5742696549930684,1,Medium
17,42,927915,14,456,348897.980290954,0.3760020910222962,0,1,0.42547775759839856,0,Medium
18,22,1476957,11,351,287753.50343233004,0.1948286263122962,4,2,0.5229090902841043,1,Medium
19,44,1706427,6,542,863063.6442029866,0.5057723794823843,2,4,0.49175453875361974,0,Medium
20,64,2145786,6,719,1281534.4114199067,0.597233093803346,6,3,0.4069788151243056,0,Medium
21,50,2268188,10,724,1299393.6748041885,0.5728774135143068,3,3,0.34597783283273154,0,Medium
22,58,336382,19,379,126356.29582357686,0.3756333448982908,0,1,0.4963986617069309,1,Medium
23,22,1162219,28,653,228163.7028525587,0.19631730581977982,2,1,0.28015804196108984,0,Low
24,41,1371917,10,592,616869.7770789504,0.449640741443506,2,3,0.4268956241328571,0,Medium
25,53,2018303,16,415,1459843.0575993452,0.7233022284559579,7,0,0.5466288604505498,0,Medium
26,32,1574856,2,828,674205.293694536,0.42810599425886303,7,2,0.3299602921851059,0,Medium
27,42,1935407,15,779,458646.43140605185,0.23697673481911136,6,0,0.20712517085992618,0,Low
28,64,783075,4,587,129314.90072408605,0.16513731216561128,0,4,0.40906809879675865,1,Medium
29,45,2077310,27,776,1580310.7712124286,0.7607486466692157,1,0,0.2340053812818951,0,Low
30,47,627370,1,324,389036.2689929771,0.6201065862138405,5,0,0.6550823613986123,1,High
31,62,1557427,22,730,496938.94937439595,0.3190768808903377,1,4,0.31651547291437465,0,Medium
32,48,2464533,29,577,755987.3262054402,0.3067466843436222,4,5,0.4469714800721876,1,Medium
33,36,1133142,25,616,823400.9665372723,0.7266529407058183,6,5,0.5884744386106942,1,Medium
34,35,578910,25,657,129848.2187695586,0.2242977643667558,5,2,0.37979605996625826,0,Medium
35,64,402416,6,575,190956.89616809963,0.4745261027595812,5,3,0.5295228662662019,0,Medium
36,23,1397034,27,643,837456.2120995881,0.599452992625511,4,0,0.3564507969666606,0,Medium
